temperature,pH,concentration,success
60.35,9.08,0.32,1
53.97,4.76,0.25,1
33.88,1.39,0.11,1
24.09,4.38,0.13,0
89.82,7.93,0.14,0
97.39,5.04,0.89,0
96.4,8.46,0.39,0
58.58,4.38,0.93,0
31.76,2.49,0.96,1
95.81,3.71,0.64,0
99.52,5.07,0.88,0
89.12,4.31,0.15,0
33.58,11.78,0.84,1
68.99,5.35,0.64,1
64.53,1.86,0.7,1
87.31,9.93,0.88,1
49.9,6.33,0.55,0
64.02,10.77,0.92,0
54.26,3.85,0.17,1
79.4,10.82,0.16,1
63.82,10.85,1.0,0
92.95,10.61,0.82,0
91.77,6.22,0.19,0
52.96,9.39,0.65,1
84.99,2.54,0.91,0
24.2,4.63,0.26,1
36.37,6.88,0.75,1
53.7,2.07,0.5,0
80.89,1.06,0.24,0
67.03,6.03,0.49,0
66.05,12.95,0.65,1
43.62,8.74,0.73,0
65.64,7.31,0.41,1
47.13,1.31,0.53,0
59.62,13.38,0.56,0
97.91,2.92,0.83,0
70.67,1.36,0.82,1
49.47,1.73,0.66,0
47.75,7.54,0.95,0
71.88,13.15,0.83,0
96.02,13.66,0.45,1
96.24,11.9,0.61,1
77.6,6.79,0.44,0
29.81,2.07,0.26,1
71.55,1.26,0.15,1
71.75,1.85,0.25,1
26.36,5.34,0.63,0
88.5,8.95,0.41,0
32.25,12.87,0.76,1
43.76,7.23,0.33,0
35.48,1.28,0.29,0
76.74,8.24,0.61,0
42.78,12.78,0.55,0
38.13,8.62,0.11,0
78.2,7.47,0.25,1
55.59,12.6,0.19,1
55.35,1.41,0.77,0
98.92,4.31,0.51,1
84.35,10.29,0.29,1
66.87,7.72,0.13,1
97.07,10.97,0.91,1
64.24,1.95,0.42,0
69.76,8.03,0.41,0
50.25,4.4,0.87,1
71.07,11.24,0.79,0
96.1,8.15,0.53,1
26.05,10.33,0.21,0
81.28,10.78,0.5,0
91.7,13.79,0.84,0
65.54,3.46,0.77,0
62.74,11.09,0.69,1
89.19,7.53,0.68,1
63.57,5.04,0.12,0
36.94,4.45,0.34,1
37.37,9.22,0.41,0
63.35,8.07,0.85,1
88.62,12.09,0.43,1
55.82,9.75,0.68,1
38.06,8.56,0.67,1
83.85,3.85,0.93,0
42.31,1.76,0.71,1
41.31,13.74,0.85,1
66.25,3.08,0.58,0
76.9,8.03,0.15,0
57.11,6.66,0.5,1
64.26,12.4,0.28,0
57.35,11.36,0.43,0
71.5,1.34,0.12,0
22.34,1.12,0.55,0
71.66,4.11,0.43,1
91.45,7.39,0.35,1
43.59,6.39,0.53,1
91.97,1.23,0.31,1
45.65,4.32,0.92,0
78.38,11.67,0.68,1
45.38,2.9,0.83,1
28.0,1.31,0.41,1
59.65,7.48,0.39,0
48.29,1.91,0.68,0
56.41,7.87,0.35,1
54.82,2.45,0.32,0
24.21,13.7,0.65,1
28.44,12.02,0.45,1
68.05,5.87,0.84,0
20.58,1.52,0.39,0
82.41,13.83,0.64,0
75.98,1.6,0.39,1
46.94,5.86,0.58,1
67.23,6.12,0.9,1
53.21,13.63,0.97,1
37.65,5.25,0.62,0
24.15,11.45,0.83,0
57.4,1.75,0.12,1
76.66,9.67,0.64,1
31.41,5.18,0.1,1
59.13,4.16,0.26,0
83.29,6.34,0.11,1
66.34,7.03,0.93,1
22.85,9.95,0.41,1
97.4,3.87,0.83,0
20.81,2.99,0.9,1
34.17,4.5,0.83,1
55.1,12.52,0.7,0
87.76,1.52,0.35,1
34.94,7.67,0.96,1
44.29,9.66,0.41,1
38.4,5.75,0.44,0
46.87,7.93,0.63,1
42.73,7.48,0.54,0
35.21,5.5,0.67,1
29.87,11.74,0.97,0
59.19,2.36,0.24,0
26.86,8.58,0.58,1
69.41,7.89,0.52,0
79.94,10.83,0.88,0
76.35,8.71,0.11,0
41.21,1.07,0.73,1
58.68,11.57,0.41,1
48.88,5.08,0.99,0
43.84,7.49,0.76,1
74.51,8.81,0.87,1
61.21,7.46,0.12,0
66.29,11.98,0.56,0
70.27,12.22,0.68,0
97.25,12.25,0.89,0
26.97,13.16,0.92,1
63.01,8.76,0.61,1
54.11,3.78,0.39,1
47.15,11.81,0.22,0
82.87,8.64,0.52,1
